Reviewer,Rating,Date,Content,Likes
somnambulist0,1,2024-10-12,"引用《小雁與吳愛麗》的台詞：「我好累，我真的真的好累」
其實不只是電影本身，觀眾的素質也真的讓人非常心累。我前面坐兩個人，一個會一直站起來（大概十幾分鐘一次），而且就真的是站在原地擋螢幕；另一個前半段一直在打電話，而且聲音大到可以蓋過電影的聲音，甚至聽得到手機裡另一邊在說什麼。然後左右兩邊都很莫名其妙的看到哭，非常想笑但覺得不太道德，努力憋了約莫十分鐘。
然後因為真的很無聊，我有一段時間很努力的在背單字，可是唯一記起來的只有force是逼迫的意思（歡迎大家去聽新斯不在家來見識我的英文到底有多爛🫡）還是謝謝它讓我學到一個單字，所以給它一顆星。",6
dieguevara,0.5,2025-03-28,"Film d'ouverture du festival taïwanais de la filmothèque, déjà tout le monde a eu un bubble tea et du poulet frit gratuits sauf moi et en plus c'est le pire film du monde !!!
Les personnages ont tous un charisme négatif, les scènes de combat ressemblent à la baston entre 2 droitards bourrés sur la terrasse des enfants terribles et le plot a clairement été écrit à moitié par chatgpt et à moitié par david lafarge pokemon",4
Paolo 力,5,2025-04-26,"One of the greatest, if not the greatest.
Solo Teki Cometh potrà competere con questo spettacolo di film.
Mafia, botte e tante mazzate.
Non potevo chiedere niente di meglio.
Recupererò il resto dei film
E poi Micheal stra assomiglia al mio amico Yukio, il goat...",2
Shelby Quinn,3.5,2024-09-04,"One woman. No lines. Pregnant. 
But hot damn, this movie fucking rules!",3
franco,,2025-04-26,"I gangster a Taiwan quando dicono ""ho il ferro"" intendono ""ho una mazza da baseball"" e non ""ho un'arma da fuoco"".",2
mrshanklyy,0.5,2025-03-28,"De toute façon michael va crever de faim cause he never eats
Tellement nul qu’ils nous ont soudoyé avec du bubble tea et du poulet au début de la séance
L’ambassadrice qui s’est cassée au début de la séance ça aurait dû nous donner un indice
Au moins 4 fausses fins avec des flash back d’amitié mais suivies d’un peu plus de ce supplice finalement
They did not gove a fuck about each plot they started
Après ce film j’ai l’impression que je pourrais mieux faire le taff que 90% des chefs de triade",2
SilenceMontage,3,2024-11-08,,2
Teng,0.5,2024-08-27,Unbelievable,2
Tsai_Hsiao_Sung,3,2024-08-01,「姚宏易、姜瑞智。《角頭》影集衍生前導，大部份故事線都沒收尾。重心更放在勢力彼此之間的來來回回，角色工作不太建立，靠演員形象跟《角頭》系列印象直接硬上。場面升級，打群架次數變多。家庭倫理召喚（施名帥支線）是比較沒有進步的部分，包括硬要湊一個兄弟情故事，感受很不好，也覺得角色動機可疑；但體感上面，這集的道德宣講氛圍比較低，算是進步。看老人家互相叫囂是系列獨特的樂趣來源（權力、輩份、尊卑、羞辱、臉面）；『毒品』示意的幫派道德危機相對來說比較是類型陳套。姚宏易的技術力不錯。棒球場，角色靠示弱來推進故事蠻不錯（可惜最後破功）；結盟靠隊的處理可以更細緻。張懷秋演的瘋狗型二把手難得是個正常人（叫囂反應有明確的上下對位關係，不是隨便叫）。高捷、太保、龍天翔、蔡振南、喜翔，最後字卡靜照效果不錯；荒山亮片尾曲蠻好。題外話，《角頭》系列很在意『歹路不通行』，所以前幾集一直在弄死重要角色，結果就是每部續集都要一直把時間線往前撥，《角頭—大橋頭》在這方面算很友善；營造一個主動力反派，對娛樂效果來說是好事（至少不是循環兄弟悲歌）。」——2024.08.01,2
Ali Alordony,0.5,2025-05-17,I think watching this movie is anyway a complete waste of time.,1
Fawk,3.5,2025-05-05,"GATAO: Like Father Like Son offers a refined expansion of the series, combining stylistic visual innovation with a thoughtfully constructed backstory. The film adeptly delves into the origins of key characters, especially Michael and Meng, providing essential context for the ongoing gang conflicts while maintaining narrative momentum.",0
cantonwonton,3.5,2025-05-04,"In every Gatao movie either some rival gang tries to grab power by doing some land deal or selling drugs or both.
Improvement over the previous installments. They should have resolved the story line with scorpion though.",0
